data_coleta,data_entrega,empresa,cnpj,categoria,tipo,assunto,materialidade,termos_encontrados,link,fingerprint
2026-08-16T13:26:02,2026-08-11T00:00:00,GRUPO CASAS BAHIA S.A.,33041260065290,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,Alteração do Calendário de Eventos Corporativos,média,,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1556065&numSequencia=1080771&numVersao=1,ca33c77a56fe464a
2026-08-16T13:26:02,2026-08-10T00:00:00,AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL,00776574000156,Aviso aos Acionistas,Outros avisos,Aumento de capital por exercício de bônus de subscrição,baixa,,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1555456&numSequencia=1080162&numVersao=1,3f8fb229f42cd3cc
2026-08-09T13:44:03,2026-08-07T00:00:00,AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL,00776574000156,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,Conclusão do procedimento de ajuste de preço da alienação da UPI Uni.Co,média,,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1554573&numSequencia=1079279&numVersao=1,10eb689420075e31
2026-08-09T13:44:03,2026-08-04T00:00:00,COMPANHIA BRASILEIRA DE DISTRIBUIÇÃO,47508411000156,Comunicado ao Mercado,Apresentações a analistas/agentes do mercado,Apresentação de Resultado - 2T26,média,,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1552160&numSequencia=1076866&numVersao=1,c8944d62ae59236f
2026-08-02T14:25:34,2026-07-30T00:00:00,AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL,00776574000156,Assembleia,AGE,nan,média,,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1550029&numSequencia=1074735&numVersao=1,37819bd9aa8d65d6
2026-08-02T14:25:34,2026-07-30T00:00:00,AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL,00776574000156,Assembleia,AGE,"Autorizar a alteração do caput do Artigo 5º do Estatuto Social da Companhia para refletir o novo valor e o número de ações, consolidar o Estatuto Social da Companhia de forma a refletir as alterações,",média,,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1550023&numSequencia=1074729&numVersao=1,c70e804df5e56f33
2026-08-02T14:25:34,2026-07-30T00:00:00,AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL,00776574000156,Assembleia,AGE,nan,média,,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1550030&numSequencia=1074736&numVersao=1,37819bd9aa8d65d6
2026-08-02T14:25:34,2026-07-30T00:00:00,AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL,00776574000156,Assembleia,AGE,"Autorizar a alteração do caput do Artigo 5º do Estatuto Social da Companhia para refletir o novo valor e o número de ações, consolidar o Estatuto Social da Companhia de forma a refletir as alterações,",média,,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1550028&numSequencia=1074734&numVersao=1,c70e804df5e56f33
2026-08-02T14:25:34,2026-07-27T00:00:00,AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL,00776574000156,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,CAM 236 23 Instauração da arbitragem,média,,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1548063&numSequencia=1072769&numVersao=1,a27c214349cb6832
2026-07-26T14:26:00,2026-07-20T00:00:00,MARISA LOJAS SA,61189288000189,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,Alteração na Administração da Companhia,média,,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1546409&numSequencia=1071115&numVersao=1,d09a5dc3ba998bb0
2026-07-20T15:06:32,2026-07-17T00:00:00,GRUPO CASAS BAHIA S.A.,33041260065290,Aviso aos Acionistas,Outros avisos,Aumento do capital social da Companhia,baixa,,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1546085&numSequencia=1070791&numVersao=1,462d42c1c88ef7a8
2026-07-20T15:06:32,2026-07-17T00:00:00,COMPANHIA BRASILEIRA DE DISTRIBUIÇÃO,47508411000156,Comunicado ao Mercado,Esclarecimentos sobre questionamentos da CVM/B3,Notícia Veiculada na Mídia,média,,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1546074&numSequencia=1070780&numVersao=1,158a6d69129ba8af
2026-07-13T15:39:29,2026-07-09T00:00:00,AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL,00776574000156,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,Esclarecimentos Sobre a Recuperação Judicial,alta,recuperação judicial|ação judicial,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1543326&numSequencia=1068032&numVersao=1,c8802393d1705bd5
2026-07-06T16:16:07,2026-07-03T00:00:00,AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL,00776574000156,Fato Relevante,nan,Conclusão da Venda da UPI Uni.Co,alta,,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1541658&numSequencia=1066364&numVersao=1,6c1f5cb638485093
2026-07-06T16:16:07,2026-07-02T00:00:00,COMPANHIA BRASILEIRA DE DISTRIBUIÇÃO,47508411000156,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,Conclusão Operação Stix,média,,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1541402&numSequencia=1066108&numVersao=1,aadd33fde790999a
2026-07-06T16:16:07,2026-06-30T00:00:00,AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL,00776574000156,Comunicado ao Mercado,Esclarecimentos sobre questionamentos da CVM/B3,Notícia divulgada na mídia,média,,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1540179&numSequencia=1064885&numVersao=1,36a0808368ee3054
2026-06-28T14:45:29,2026-06-26T00:00:00,COMPANHIA BRASILEIRA DE DISTRIBUIÇÃO,47508411000156,Comunicado ao Mercado,Aquisição/Alienação de Participação Acionária (art. 12 da Instr. CVM nº 358),nan,média,,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1538953&numSequencia=1063659&numVersao=1,70e124149f582561
2026-06-28T14:45:29,2026-06-22T00:00:00,COMPANHIA BRASILEIRA DE DISTRIBUIÇÃO,47508411000156,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,Eleição DRI,média,,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1537040&numSequencia=1061746&numVersao=1,a9370a8b6a2b8892
2026-06-28T14:45:29,2026-06-22T00:00:00,COMPANHIA BRASILEIRA DE DISTRIBUIÇÃO,47508411000156,Aviso aos Acionistas,Aumento de capital por subscrição privada deliberado em RCA,nan,baixa,,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1537044&numSequencia=1061750&numVersao=1,77663b2a30408bf4
2026-06-21T15:09:12,2026-06-17T00:00:00,COMPANHIA BRASILEIRA DE DISTRIBUIÇÃO,47508411000156,Comunicado ao Mercado,Aquisição/Alienação de Participação Acionária (art. 12 da Instr. CVM nº 358),nan,média,,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1535700&numSequencia=1060406&numVersao=1,7b8dacc500457631
2026-06-21T15:09:12,2026-06-16T00:00:00,COMPANHIA BRASILEIRA DE DISTRIBUIÇÃO,47508411000156,Assembleia,AGE,AGE 15/06 - Mapa Final de Votação Detalhado,média,,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1534915&numSequencia=1059621&numVersao=1,fab26b6fdaaa0215
2026-06-21T15:09:12,2026-06-15T00:00:00,COMPANHIA BRASILEIRA DE DISTRIBUIÇÃO,47508411000156,Assembleia,AGE,AGE 15/06 - Ata,média,,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1534453&numSequencia=1059159&numVersao=1,d7a2fbf1eed4e130
2026-06-15T17:59:57,2026-06-13T00:00:00,COMPANHIA BRASILEIRA DE DISTRIBUIÇÃO,47508411000156,Assembleia,AGE,AGE 15/06 - Mapa Sintético Consolidado,média,,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1534342&numSequencia=1059048&numVersao=1,e2b838f98e946ff0
2026-06-15T17:59:57,2026-06-10T00:00:00,COMPANHIA BRASILEIRA DE DISTRIBUIÇÃO,47508411000156,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,Publicação do Edital do Plano de Recuperação Extrajudicial,média,,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1533050&numSequencia=1057756&numVersao=1,f109c772ae09f162
2026-05-31T14:28:17,2026-05-29T00:00:00,GRUPO CASAS BAHIA S.A.,33041260065290,Comunicado ao Mercado,"Instalação, mudança ou dissolução do Comitê de Auditoria Estatutário",Mudança na composição do comitê de auditoria estatutário,alta,auditor,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1528651&numSequencia=1053357&numVersao=1,685c0cb2be10244a
2026-05-31T14:28:17,2026-05-27T00:00:00,AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL,00776574000156,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,CAM 294 25 Instauração da arbitragem,média,,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1527543&numSequencia=1052249&numVersao=1,80ff2530caa70a5e
